"id","channel_group_id","sc_chid","name","created_at","updated_at","vod","aasm_state","sort_number","deleted_at","name_alter","unpublished_at"
275,17,,"TUYテレビユー山形","2020-03-26 17:24:24.468244+00","2020-06-08 06:02:22.272846+00",FALSE,"published",0,,"",
269,22,,"TUTチューリップテレビ","2019-09-30 15:06:32.409098+00","2020-06-08 06:03:25.742167+00",FALSE,"published",0,,"",
283,16,,"MBC南日本放送","2020-03-26 17:36:40.65528+00","2020-03-26 17:36:40.65528+00",FALSE,"published",0,,"",
284,17,,"岩手めんこいテレビ","2020-03-28 08:32:32.459873+00","2020-03-28 08:32:32.459873+00",FALSE,"published",0,,"",
285,17,,"KHB東日本放送","2020-03-28 18:37:53.323646+00","2020-03-28 18:37:53.323646+00",FALSE,"published",0,,"",
286,17,,"AKT秋田テレビ","2020-03-29 12:00:14.646507+00","2020-03-29 12:00:14.646507+00",FALSE,"published",0,,"",
287,17,,"さくらんぼテレビ","2020-03-29 12:00:44.941592+00","2020-03-29 12:00:44.941592+00",FALSE,"published",0,,"",
288,17,,"福島テレビ","2020-03-29 12:01:28.183742+00","2020-03-29 12:01:28.183742+00",FALSE,"published",0,,"",
289,16,,"TKUテレビ熊本","2020-03-29 12:02:41.71071+00","2020-03-29 12:02:41.71071+00",FALSE,"published",0,,"",
290,16,,"KTS鹿児島テレビ","2020-03-29 12:03:13.267361+00","2020-03-29 12:03:13.267361+00",FALSE,"published",0,,"",
291,11,,"TSK山陰中央テレビ","2020-03-29 12:03:44.257431+00","2020-03-29 12:03:44.257431+00",FALSE,"published",0,,"",
